pulse_number,steady_state_voltage_mean
0,1.2487901769600798
1,1.4053996611716564
2,1.3747978389880002
3,1.348470978494
4,1.3244263476833666
5,1.2944123444700002
6,1.265153495458
7,1.236383261976
8,1.210239683482
9,1.186905883976
10,1.158441134988
11,1.131442353482
12,1.1027332269639998
13,1.0795826844939997
14,1.0530725909879999
15,1.0233861519999998
16,0.9932110399759998
17,0.9772683389879998
18,0.9535069594819999
19,0.92980667847
20,0.8985931559759999
21,0.8754426424939998
22,0.8480773769639998
23,0.8235829739759997
24,0.7938354539999998
25,0.7694632644939999
26,0.7443580754819998
27,0.7194361199759999
28,0.6899940019520001
29,0.66165140647
30,0.635507804446
31,0.613090249952
32,0.584564420988
33,0.5603143739759998
34,0.530566843482
35,0.506438984988
36,0.4792569679759999
37,0.45732808647
38,0.425625897952
39,0.40058176246999994
40,0.37993567246999993
41,0.3612442004699999
42,0.33149665849399995
43,0.3079185859759999
44,0.279453777976
45,0.257647074964
46,0.23022071948199999
47,0.20786426649399997
48,0.187706803482
49,0.21464449896399998
50,0.23926102548200004
51,0.270474555976
52,0.29167044698800004
53,0.31378254496399993
54,0.337299581976
55,0.367963341976
56,0.39441236647000005
57,0.4212278980000001
58,0.4435843729640001
59,0.4723545574820001
60,0.49758190847000006
61,0.5280013489880001
62,0.5491972359760001
63,0.576073835976
64,0.592016569976
65,0.6248793129880001
66,0.6457086944699999
67,0.6731961264939998
68,0.693659017976
69,0.7282321069879999
70,0.752543207482
71,0.782657246
72,0.8022038549879998
73,0.8349444394819999
74,0.8574841664939999
75,0.8875371034819999
76,0.9091462294468938
77,0.9380529164939999
78,0.9640132809879999
79,0.9942494604939999
80,1.01562857247
81,1.042871700988
82,1.066144415482
83,1.095342164494
84,1.123806959976
85,1.150622485482
86,1.1718183574820003
87,1.203703775482
88,1.225449401976
89,1.2614274029879997
90,1.2792026264940002
91,1.3075452289879996
92,1.33161200447
93,1.36398613247
94,1.3827997464700001
95,1.413097022988
96,1.435514572
97,1.46874380647
98,1.4943376720000001
99,1.521764052988
100,1.542593427482
101,1.574112351482
102,1.594880618988
103,1.623040014
104,1.6428920324940002
105,1.669585412
106,1.6912088704939998
107,1.722911056494
108,1.7448399004939998
109,1.773182547976
110,1.7955389804699997
111,1.82791309
112,1.8549729544939997
113,1.882765792988
114,1.905794159482
115,1.932792922494
116,3.1394306266666665
